そふとめでぃあけんきゅうかい	ソフトメディア研究会
まるちめでぃあ	マルチメディア
でぃーてぃーえむ	DTM
ぷろぐらみんぐ	プログラミング
うちゅうじん	宇宙人
みらいじん	未来人
いせかいじん	異世界人
ちょうのうりょくしゃ	超能力者
ちばこうぎょうだいがく	千葉工業大学
れとろげーむ	レトロゲーム
やしがに	ヤシガニ
せっかくだから	せっかくだから
ぽにーてーるもえ	ポニーテール萌え
めがねぞくせい	眼鏡属性
わすれもの	忘れ物
だんまく	弾幕
くそげー	クソゲー
れーざーぷりんた	レーザープリンタ
はーどでぃすく	ハードディスク
すぴーかー	スピーカー
まうす	マウス
きーぼーど	キーボード
へっどほん	ヘッドホン
えきしょうでぃすぷれい	液晶ディスプレイ
めもり	メモリ
ふろっぴーでぃすく	フロッピーディスク
ねっとわーくいんたーふぇいすかーど	ネットワークインターフェイスカード
のーすぶりっじ	ノースブリッジ
おぺれーてぃんぐしすてむ	オペレーティングシステム
こんぱいら	コンパイラ
ぷりぷろせっさ	プリプロセッサ
りんか	リンカ
あせんぶら	アセンブラ
すくりぷと	スクリプト
いんたぷりた	インタプリタ
てきすとえでぃた	テキストエディタ
せいきひょうげん	正規表現
かんすうがたげんご	関数型言語
てつづきがたげんご	手続き型言語
おぶじぇくとしこう	オブジェクト指向
てんぷれーと	テンプレート
めたぷろぐらみんぐ	メタプログラミング
じぇねりっく	ジェネリック
すまーとぽいんた	スマートポインタ
じっしゃばん	実写版
あにめか	アニメ化
でんぱそんぐ	電波ソング
すこしふしぎ	少し不思議
あるごりずむ	アルゴリズム
しゅーてぃんぐげーむ	シューティングゲーム
あくしょんげーむ	アクションゲーム
ろーるぷれいんぐげーむ	ロールプレイングゲーム
しみゅれーしょんげーむ	シミュレーションゲーム
ふぁーすとぱーそんしゅーてぃんぐ	ファーストパーソンシューティング
たっちたいぴんぐ	タッチタイピング
たいぴんぐげーむ	タイピングゲーム
ぱーそなるこんぴゅーた	パーソナルコンピュータ
いんふぉめーしょんてくのろじー	インフォメーションテクノロジー
でんきでんしじょうほうこうがくか	電気電子情報工学科
こんぴゅーたさいえんす	コンピュータサイエンス
つうしょうさんぎょうしょう	通商産業省
じょうほうしょりぎじゅつしゃ	情報処理技術者
こんぱくとでぃすく	コンパクトディスク
ぺんたぶれっと	ペンタブレット
ぱーそなるでじたるあしすたんと	パーソナルデジタルアシスタント
ぱーそなるはんでぃほん	パーソナルハンディホン
はいぱーてきすとまーくあっぷらんげーじ	ハイパーテキストマークアップランゲージ
とらんすみっしょんこんとろーるぷろとこる	トランスミッションコントロールプロトコル
あぷりけーしょんそう	アプリケーション層
ぷれぜんてーしょんそう	プレゼンテーション層
せっしょんそう	セッション層
とらんすぽーとそう	トランスポート層
ねっとわーくそう	ネットワーク層
でーたりんくそう	データリンク層
ぶつりそう	物理層
ますたーぶーとれこーど	マスターブートレコード
ぶーとろーだー	ブートローダー
じちょう	自重
うぇぶさいと	ウェブサイト
ぶろぐ	ブログ
こもんげーとうぇいいんたーふぇいす	コモンゲートウェイインターフェイス
こっぺぱん	コッペパン
めろんぱん	メロンパン
ちょこころね	チョココロネ
あきはばら	秋葉原
すーぱーはっかー	スーパーハッカー
たっちぺん	タッチペン
ついんてーる	ツインテール
げーむぱっど	ゲームパッド
はんぶんはやさしさ	半分はやさしさ
やふーでぐぐれ	ヤフーでググれ
なぜならかれもまたとくべつなそんざいだからです	何故なら彼もまた特別な存在だからです
わっふる	ワッフル
かれーらいす	カレーライス
